15S_RRNA	15S ribosomal RNA
PRP2	DEAH-box RNA-dependent ATPase PRP2
PRP21	Prp21p
PRP22	DEAH-box ATP-dependent RNA helicase PRP22
PRP24	U6 snRNP complex subunit PRP24
PRP28	mRNA splicing protein PRP28
PRP3	U4/U6-U5 snRNP complex subunit PRP3
PRP31	U4/U6-U5 snRNP complex subunit PRP31
PRP38	U4/U6-U5 snRNP complex subunit PRP38
PRP39	Prp39p
PRP4	U4/U6-U5 snRNP complex subunit PRP4
PRP40	Prp40p
PRP42	mRNA splicing protein PRP42
PRP43	DEAH-box ATP-dependent RNA helicase PRP43
PRP45	mRNA splicing protein PRP45
PRP46	mRNA splicing protein PRP46
PRP5	DEAD-box RNA helicase PRP5
PRP6	U4/U6-U5 snRNP complex subunit PRP6
PRP8	U4/U6-U5 snRNP complex subunit PRP8
PRP9	SF3a splicing factor complex subunit PRP9
PRR1	serine/threonine protein kinase PRR1
PRR2	serine/threonine protein kinase PRR2
PRS1	ribose phosphate diphosphokinase subunit PRS1
PRS2	ribose phosphate diphosphokinase subunit PRS2
PRS3	ribose phosphate diphosphokinase subunit PRS3
PRS4	ribose phosphate diphosphokinase subunit PRS4
PRS5	ribose phosphate diphosphokinase subunit PRS5
PRT1	translation initiation factor eIF3 core subunit b
PRX1	thioredoxin peroxidase PRX1
PRY1	sterol-binding protein
PRY2	sterol-binding protein
PRY3	Pry3p
PSA1	mannose-1-phosphate guanylyltransferase
PSD1	phosphatidylserine decarboxylase 1
PSD2	phosphatidylserine decarboxylase 2
PSE1	Pse1p
PSF1	DNA replication protein PSF1
PSF2	DNA replication protein PSF2
PSF3	DNA replication protein PSF3
PSH1	ubiquitin-protein ligase PSH1
PSK1	serine/threonine protein kinase PSK1
PSK2	serine/threonine protein kinase PSK2
PSO2	Pso2p
PSP1	Psp1p
PSP2	Psp2p
PSR1	phosphatase
PSR2	putative phosphatase
PST1	Pst1p
PST2	flavodoxin-like fold family protein
PSY2	Psy2p
PSY3	Psy3p
PSY4	Psy4p
PTA1	RNA-processing protein PTA1
PTC1	type 2C protein phosphatase PTC1
PTC2	type 2C protein phosphatase PTC2
PTC3	type 2C protein phosphatase PTC3
PTC4	type 2C protein phosphatase PTC4
PTC5	type 2C protein phosphatase PTC5
PTC6	type 2C protein phosphatase PTC6
PTC7	type 2C protein phosphatase PTC7
PTH1	aminoacyl-tRNA hydrolase
PTH2	aminoacyl-tRNA hydrolase
PTH4	Pth4p
PTI1	cleavage polyadenylation factor subunit PTI1
PTK1	putative serine/threonine protein kinase PTK1
PTK2	protein kinase PTK2
PTM1	Ptm1p
PTP1	tyrosine protein phosphatase PTP1
PTP2	tyrosine protein phosphatase PTP2
PTP3	tyrosine protein phosphatase PTP3
PTR2	Ptr2p
PTR3	Ptr3p
PUB1	Pub1p
PUF2	Puf2p
PUF3	mRNA-binding protein PUF3
PUF4	Puf4p
PUF6	Puf6p
PUG1	Pug1p
PUN1	Pun1p
PUP1	proteasome core particle subunit beta 2
PUP2	proteasome core particle subunit alpha 5
PUP3	proteasome core particle subunit beta 3
PUS1	pseudouridine synthase PUS1
PUS2	pseudouridine synthase PUS2
PUS4	pseudouridine synthase PUS4
PUS5	pseudouridine synthase PUS5
PUS6	pseudouridine synthase PUS6
PUS7	pseudouridine synthase PUS7
PUS9	pseudouridine synthase PUS9
PUT1	proline dehydrogenase
PUT2	1-pyrroline-5-carboxylate dehydrogenase
PUT3	Put3p
PUT4	proline permease PUT4
PWP1	rRNA-processing protein PWP1
PWP2	snoRNA-binding rRNA-processing protein PWP2
PWR1	ncRNA
PXA1	ATP-binding cassette long-chain fatty acid transporter PXA1
PXA2	ATP-binding cassette long-chain fatty acid transporter PXA2
PXL1	Pxl1p
PXP1	putative indolepyruvate decarboxylase family protein
PXP2	Pxp2p
PXR1	telomerase inhibitor
PYC1	pyruvate carboxylase 1
PYC2	pyruvate carboxylase 2
PYK2	pyruvate kinase PYK2
PZF1	Pzf1p
Q0255	maturase-like protein
QCR10	ubiquinol--cytochrome-c reductase subunit 10
QCR2	ubiquinol--cytochrome-c reductase subunit 2
QCR6	ubiquinol--cytochrome-c reductase subunit 6
QCR7	ubiquinol--cytochrome-c reductase subunit 7
QCR8	ubiquinol--cytochrome-c reductase subunit 8
QCR9	ubiquinol--cytochrome-c reductase subunit 9
QDR1	multidrug transporter
QDR2	cation transporter
QDR3	Qdr3p
QNS1	glutamine-dependent NAD(+) synthetase
QRI1	UDP-N-acetylglucosamine diphosphorylase
QRI5	Qri5p
QRI7	putative N(6)-L-threonylcarbamoyladenine synthase
RAD1	ssDNA endodeoxyribonuclease RAD1
RAD10	Rad10p
RAD14	Rad14p
RAD16	DNA repair protein RAD16
RAD17	Rad17p
RAD18	E3 ubiquitin-protein ligase RAD18
RAD2	ssDNA endodeoxyribonuclease RAD2
RAD23	Rad23p
RAD24	Rad24p
RAD26	DNA-dependent ATPase RAD26
RAD27	multifunctional nuclease RAD27
RAD28	Rad28p
RAD3	TFIIH/NER complex ATP-dependent 5'-3' DNA helicase subunit RAD3
RAD30	DNA-directed DNA polymerase eta
RAD33	Rad33p
RAD34	Rad34p
RAD4	Rad4p
RAD5	DNA helicase RAD5
RAD50	MRX complex DNA-binding subunit
RAD51	recombinase RAD51
RAD52	recombinase RAD52
RAD53	serine/threonine/tyrosine protein kinase RAD53
RAD54	DNA-dependent ATPase RAD54
RAD55	putative DNA-dependent ATPase RAD55
RAD57	putative DNA-dependent ATPase RAD57
RAD59	Rad59p
RAD6	E2 ubiquitin-conjugating protein RAD6
RAD61	Rad61p
RAD7	UV-damaged DNA-binding protein RAD7
RAD9	chromatin-binding protein RAD9
RAI1	decapping nuclease
RAM1	protein farnesyltransferase
RAM2	bifunctional protein farnesyltransferase/protein geranylgeranyltransferase
RAP1	DNA-binding transcription factor RAP1
RAS1	Ras family GTPase RAS1
RAS2	Ras family GTPase RAS2
RAT1	ssRNA exonuclease RAT1
RAV1	Rav1p
RAV2	Rav2p
RAX1	Rax1p
RAX2	Rax2p
RBA50	Rba50p
RBD2	putative rhomboid protease RBD2
RBG1	GTP-binding protein RBG1
RBG2	Rbg2p
RBH1	hypothetical protein
RBH2	hypothetical protein
RBK1	putative ribokinase
RBL2	Rbl2p
RBS1	Rbs1p
RCE1	CAAX prenyl protease
RCF1	Rcf1p
RCF2	Rcf2p
RCF3	hypothetical protein
RCH1	Rch1p
RCK1	putative serine/threonine protein kinase RCK1
RCK2	serine/threonine protein kinase RCK2
RCL1	rRNA-processing endoribonuclease
RCM1	rRNA (cytosine-C5-)-methyltransferase RCM1
RCN1	Rcn1p
RCN2	Rcn2p
RCO1	Rco1p
RCR1	Rcr1p
RCR2	Rcr2p
RCY1	Rcy1p
RDH54	DNA-dependent ATPase RDH54
RDI1	Rdi1p
RDL1	thiosulfate sulfurtransferase RDL1
RDL2	thiosulfate sulfurtransferase RDL2
RDN18-1	18S ribosomal RNA
RDN18-2	18S ribosomal RNA
RDN25-1	25S ribosomal RNA
RDN25-2	25S ribosomal RNA
RDN37-1	miscRNA
RDN37-2	miscRNA
RDN5-1	5S ribosomal RNA
RDN5-2	5S ribosomal RNA
RDN5-3	5S ribosomal RNA
RDN5-4	5S ribosomal RNA
RDN5-5	5S ribosomal RNA
RDN5-6	5S ribosomal RNA
RDN58-1	5.8S ribosomal RNA
RDN58-2	5.8S ribosomal RNA
RDR1	Rdr1p
RDS1	Rds1p
RDS2	Rds2p
RDS3	U2 snRNP complex subunit RDS3
RDT1	Rdt1p
REB1	DNA-binding protein REB1
REC102	Rec102p
REC104	Rec104p
REC107	Rec107p
REC114	Rec114p
REC8	Rec8p
RED1	Red1p
REE1	Ree1p
REF2	RNA-processing protein REF2
REG1	protein phosphatase regulator REG1
REG2	protein phosphatase regulator REG2
REH1	Reh1p
REI1	Rei1p
RER1	protein retrieval receptor
RER2	ditrans,polycis-polyprenyl diphosphate synthase
RET1	DNA-directed RNA polymerase III core subunit RET1
RET2	coatomer subunit delta
RET3	coatomer subunit zeta
REV1	deoxycytidyl transferase
REV3	Rev3p
REV7	Rev7p
REX2	Rex2p
REX3	RNA exonuclease
REX4	putative 3'-5' exonuclease
RFA1	replication factor A subunit protein RFA1
RFA2	Rfa2p
RFA3	Rfa3p
RFC1	replication factor C subunit 1
RFC2	replication factor C subunit 2
RFC3	replication factor C subunit 3
RFC4	replication factor C subunit 4
RFC5	replication factor C subunit 5
RFM1	Rfm1p
RFS1	flavodoxin-like fold family protein
RFT1	glycolipid translocation protein
RFU1	Rfu1p
RFX1	Rfx1p
RGA1	Rga1p
RGA2	Rga2p
RGC1	Rgc1p
RGD1	Rgd1p
RGD2	Rgd2p
RGI1	Rgi1p
RGI2	Rgi2p
RGL1	Rgl1p
RGM1	Rgm1p
RGP1	Rgp1p
RGR1	Rgr1p
RGS2	GTPase-activating protein RGS2
RGT1	Rgt1p
RGT2	glucose sensor
RHB1	putative GTPase RHB1
RHO1	Rho family GTPase RHO1
RHO2	Rho family GTPase RHO2
RHO3	Rho family GTPase RHO3
RHO4	Rho family GTPase RHO4
RHO5	Rho family GTPase RHO5
RIA1	GTPase RIA1
RIB1	GTP cyclohydrolase II
RIB2	bifunctional DRAP deaminase/tRNA pseudouridine synthase RIB2
RIB3	3,4-dihydroxy-2-butanone-4-phosphate synthase RIB3
RIB4	lumazine synthase RIB4
RIB5	riboflavin synthase
RIB7	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
RIC1	Ric1p
RIE1	Rie1p
RIF1	DNA-binding protein RIF1
RIF2	Rif2p
RIM1	Rim1p
RIM101	alkaline-responsive transcriptional regulator RIM101
RIM11	serine/threonine protein kinase RIM11
RIM13	Rim13p
RIM15	protein kinase RIM15
RIM2	Rim2p
RIM20	Rim20p
RIM21	Rim21p
RIM4	Rim4p
RIM8	Rim8p
RIM9	Rim9p
RIO1	protein kinase RIO1
RIO2	protein kinase RIO2
RIP1	ubiquinol--cytochrome-c reductase catalytic subunit RIP1
RIT1	tRNA A64-2'-O-ribosylphosphate transferase
RIX1	Rix1p
RIX7	putative AAA family ATPase RIX7
RKI1	ribose-5-phosphate isomerase RKI1
RKM1	protein-lysine N-methyltransferase
RKM2	protein-lysine N-methyltransferase
RKM3	protein-lysine N-methyltransferase
RKM4	ribosomal lysine N-methyltransferase
RKM5	S-adenosylmethionine-dependent methyltransferase
RKR1	ubiquitin-protein ligase RKR1
RLF2	Rlf2p
RLI1	Fe-S cluster-binding ribosome biosynthesis protein
RLM1	Rlm1p
RLP24	ATPase-activating ribosome biosynthesis protein
RLP7	Rlp7p
RMA1	putative tetrahydrofolate synthase
RMD1	Rmd1p
RMD5	ubiquitin-protein ligase RMD5
RMD6	Rmd6p
RMD8	Rmd8p
RMD9	Rmd9p
RME1	Rme1p
RME2	ncRNA
RME3	ncRNA
RMI1	Rmi1p
RML2	mitochondrial 54S ribosomal protein RML2
RMP1	Rmp1p
RMR1	Rmr1p
RMT2	protein-arginine N5-methyltransferase
RNA1	GTPase-activating protein RNA1
RNA14	cleavage polyadenylation factor subunit RNA14
RNA15	Rna15p
RNA170	ncRNA
RNH1	RNA-DNA hybrid ribonuclease
RNH201	ribonuclease H2 catalytic subunit RNH201
RNH202	Rnh202p
RNH203	Rnh203p
RNH70	Rnh70p
RNP1	Rnp1p
RNQ1	prion domain-containing protein RNQ1
RNR1	ribonucleotide-diphosphate reductase subunit RNR1
RNR2	ribonucleotide-diphosphate reductase subunit RNR2
RNR3	ribonucleotide-diphosphate reductase subunit RNR3
RNR4	ribonucleotide-diphosphate reductase subunit RNR4
RNT1	ribonuclease III
RNY1	ribonuclease T2
ROD1	Rod1p
ROG1	putative lipase ROG1
ROG3	Rog3p
ROK1	RNA-dependent ATPase ROK1
ROM1	Rho family guanine nucleotide exchange factor ROM1
ROM2	Rho family guanine nucleotide exchange factor ROM2
ROT1	Rot1p
ROT2	glucan 1,3-alpha-glucosidase ROT2
ROX1	Rox1p
ROX3	Rox3p
ROY1	Roy1p
RPA12	DNA-directed RNA polymerase I core subunit RPA12
RPA135	DNA-directed RNA polymerase I core subunit RPA135
RPA14	DNA-directed RNA polymerase I subunit RPA14
RPA190	DNA-directed RNA polymerase I core subunit RPA190
RPA34	DNA-directed RNA polymerase I subunit RPA34
RPA43	DNA-directed RNA polymerase I subunit RPA43
RPA49	DNA-directed RNA polymerase I subunit RPA49
RPB10	DNA-directed RNA polymerase core subunit RPB10
RPB11	DNA-directed RNA polymerase II core subunit RPB11
RPB2	DNA-directed RNA polymerase II core subunit RPB2
RPB3	DNA-directed RNA polymerase II core subunit RPB3
RPB4	DNA-directed RNA polymerase II subunit RPB4
RPB5	DNA-directed RNA polymerase core subunit RPB5
RPB7	DNA-directed RNA polymerase II subunit RPB7
RPB8	DNA-directed RNA polymerase core subunit RPB8
RPB9	DNA-directed RNA polymerase II core subunit RPB9
RPC10	DNA-directed RNA polymerase core subunit RPC10
RPC11	DNA-directed RNA polymerase III core subunit RPC11
RPC17	DNA-directed RNA polymerase III subunit RPC17
RPC19	DNA-directed RNA polymerase core subunit RPC19
RPC25	DNA-directed RNA polymerase III subunit RPC25
RPC31	DNA-directed RNA polymerase III subunit C31
RPC34	DNA-directed RNA polymerase III subunit C34
RPC37	DNA-directed RNA polymerase III subunit C37
RPC40	DNA-directed RNA polymerase core subunit RPC40
RPC53	DNA-directed RNA polymerase III subunit C53
RPC82	DNA-directed RNA polymerase III subunit C82
RPD3	histone deacetylase RPD3
RPE1	ribulose-phosphate 3-epimerase RPE1
RPF1	rRNA-binding ribosome biosynthesis protein RPF1
RPF2	rRNA-binding ribosome biosynthesis protein RPF2
RPG1	translation initiation factor eIF3 core subunit a
RPH1	Rph1p
RPI1	Rpi1p
RPL10	ribosomal 60S subunit protein L10
RPL11A	ribosomal 60S subunit protein L11A
RPL11B	ribosomal 60S subunit protein L11B
RPL12A	ribosomal 60S subunit protein L12A
RPL12B	ribosomal 60S subunit protein L12B
RPL13A	ribosomal 60S subunit protein L13A
RPL13B	ribosomal 60S subunit protein L13B
RPL14A	ribosomal 60S subunit protein L14A
RPL14B	ribosomal 60S subunit protein L14B
RPL15A	ribosomal 60S subunit protein L15A
RPL15B	ribosomal 60S subunit protein L15B
RPL16A	ribosomal 60S subunit protein L16A
RPL16B	ribosomal 60S subunit protein L16B
RPL17A	ribosomal 60S subunit protein L17A
RPL17B	ribosomal 60S subunit protein L17B
RPL18A	ribosomal 60S subunit protein L18A
RPL18B	ribosomal 60S subunit protein L18B
RPL19A	ribosomal 60S subunit protein L19A
RPL19B	ribosomal 60S subunit protein L19B
RPL1A	ribosomal 60S subunit protein L1A
RPL1B	ribosomal 60S subunit protein L1B
RPL20A	ribosomal 60S subunit protein L20A
RPL20B	ribosomal 60S subunit protein L20B
RPL21A	ribosomal 60S subunit protein L21A
RPL21B	ribosomal 60S subunit protein L21B
RPL22A	ribosomal 60S subunit protein L22A
RPL22B	ribosomal 60S subunit protein L22B
RPL23A	ribosomal 60S subunit protein L23A
RPL23B	ribosomal 60S subunit protein L23B
RPL24A	ribosomal 60S subunit protein L24A
RPL24B	ribosomal 60S subunit protein L24B
RPL25	ribosomal 60S subunit protein L25
RPL26A	ribosomal 60S subunit protein L26A
RPL26B	ribosomal 60S subunit protein L26B
RPL27A	ribosomal 60S subunit protein L27A
RPL27B	ribosomal 60S subunit protein L27B
RPL28	ribosomal 60S subunit protein L28
RPL29	ribosomal 60S subunit protein L29
RPL2A	ribosomal 60S subunit protein L2A
RPL2B	ribosomal 60S subunit protein L2B
RPL3	ribosomal 60S subunit protein L3
RPL30	ribosomal 60S subunit protein L30
RPL31A	ribosomal 60S subunit protein L31A
RPL31B	ribosomal 60S subunit protein L31B
RPL32	ribosomal 60S subunit protein L32
RPL33A	ribosomal 60S subunit protein L33A
RPL33B	ribosomal 60S subunit protein L33B
RPL34A	ribosomal 60S subunit protein L34A
RPL34B	ribosomal 60S subunit protein L34B
RPL35A	ribosomal 60S subunit protein L35A
RPL35B	ribosomal 60S subunit protein L35B
RPL36A	ribosomal 60S subunit protein L36A
RPL36B	ribosomal 60S subunit protein L36B
RPL37A	ribosomal 60S subunit protein L37A
RPL37B	ribosomal 60S subunit protein L37B
RPL38	ribosomal 60S subunit protein L38
RPL39	ribosomal 60S subunit protein L39
RPL40A	ubiquitin-ribosomal 60S subunit protein L40A fusion protein
RPL40B	ubiquitin-ribosomal 60S subunit protein L40B fusion protein
RPL41A	ribosomal 60S subunit protein L41A
RPL41B	ribosomal 60S subunit protein L41B
RPL42A	ribosomal 60S subunit protein L42A
RPL42B	ribosomal 60S subunit protein L42B
RPL43A	ribosomal 60S subunit protein L43A
RPL43B	ribosomal 60S subunit protein L43B
RPL4A	ribosomal 60S subunit protein L4A
RPL4B	ribosomal 60S subunit protein L4B
RPL5	ribosomal 60S subunit protein L5
RPL6A	ribosomal 60S subunit protein L6A
RPL6B	ribosomal 60S subunit protein L6B
RPL7A	ribosomal 60S subunit protein L7A
RPL7B	ribosomal 60S subunit protein L7B
RPL8A	ribosomal 60S subunit protein L8A
RPL8B	ribosomal 60S subunit protein L8B
RPL9A	ribosomal 60S subunit protein L9A
RPL9B	ribosomal 60S subunit protein L9B
RPM1	ncRNA
RPM2	ribonuclease P
RPN1	proteasome regulatory particle base subunit RPN1
RPN10	proteasome regulatory particle base subunit RPN10
RPN11	proteasome regulatory particle lid subunit RPN11
RPN12	proteasome regulatory particle lid subunit RPN12
RPN13	proteasome regulatory particle lid subunit RPN13
RPN14	Rpn14p
RPN2	proteasome regulatory particle base subunit RPN2
RPN3	proteasome regulatory particle lid subunit RPN3
RPN4	stress-regulated transcription factor RPN4
RPN5	proteasome regulatory particle lid subunit RPN5
RPN6	proteasome regulatory particle lid subunit RPN6
RPN7	proteasome regulatory particle lid subunit RPN7
RPN8	proteasome regulatory particle lid subunit RPN8
RPN9	proteasome regulatory particle lid subunit RPN9
RPO21	DNA-directed RNA polymerase II core subunit RPO21
RPO26	DNA-directed RNA polymerase core subunit RPO26
RPO31	DNA-directed RNA polymerase III core subunit RPO31
RPO41	DNA-directed RNA polymerase
RPP0	ribosomal protein P0
RPP1	RNA-binding RNA processing protein RPP1
RPP1A	ribosomal protein P1A
RPP1B	ribosomal protein P1B
RPP2A	ribosomal protein P2A
RPP2B	ribosomal protein P2B
RPR1	ncRNA
RPR2	ribonuclease P protein subunit RPR2
RPS0A	ribosomal 40S subunit protein S0A
RPS0B	ribosomal 40S subunit protein S0B
RPS10A	ribosomal 40S subunit protein S10A
RPS10B	ribosomal 40S subunit protein S10B
RPS11A	ribosomal 40S subunit protein S11A
RPS11B	ribosomal 40S subunit protein S11B
RPS12	ribosomal 40S subunit protein S12
RPS13	ribosomal 40S subunit protein S13
RPS14A	ribosomal 40S subunit protein S14A
RPS14B	ribosomal 40S subunit protein S14B
RPS15	ribosomal 40S subunit protein S15
RPS16A	ribosomal 40S subunit protein S16A
RPS16B	ribosomal 40S subunit protein S16B
RPS17A	ribosomal 40S subunit protein S17A
RPS17B	ribosomal 40S subunit protein S17B
RPS18A	ribosomal 40S subunit protein S18A
RPS18B	ribosomal 40S subunit protein S18B
RPS19A	ribosomal 40S subunit protein S19A
RPS19B	ribosomal 40S subunit protein S19B
RPS1A	ribosomal 40S subunit protein S1A
RPS1B	ribosomal 40S subunit protein S1B
RPS2	ribosomal 40S subunit protein S2
RPS20	ribosomal 40S subunit protein S20
RPS21A	ribosomal 40S subunit protein S21A
RPS21B	ribosomal 40S subunit protein S21B
RPS22A	ribosomal 40S subunit protein S22A
RPS22B	ribosomal 40S subunit protein S22B
RPS23A	ribosomal 40S subunit protein S23A
RPS23B	ribosomal 40S subunit protein S23B
RPS24A	ribosomal 40S subunit protein S24A
RPS24B	ribosomal 40S subunit protein S24B
RPS25A	ribosomal 40S subunit protein S25A
RPS25B	ribosomal 40S subunit protein S25B
RPS26A	ribosomal 40S subunit protein S26A
RPS26B	ribosomal 40S subunit protein S26B
RPS27A	ribosomal 40S subunit protein S27A
RPS27B	ribosomal 40S subunit protein S27B
RPS28A	ribosomal 40S subunit protein S28A
RPS28B	ribosomal 40S subunit protein S28B
RPS29A	ribosomal 40S subunit protein S29A
RPS29B	ribosomal 40S subunit protein S29B
RPS3	ribosomal 40S subunit protein S3
RPS30A	ribosomal 40S subunit protein S30A
RPS30B	ribosomal 40S subunit protein S30B
RPS31	ubiquitin-ribosomal 40S subunit protein S31 fusion protein
RPS4A	ribosomal 40S subunit protein S4A
RPS4B	ribosomal 40S subunit protein S4B
RPS5	ribosomal 40S subunit protein S5
RPS6A	ribosomal 40S subunit protein S6A
RPS6B	ribosomal 40S subunit protein S6B
RPS7A	ribosomal 40S subunit protein S7A
RPS7B	ribosomal 40S subunit protein S7B
RPS8A	ribosomal 40S subunit protein S8A
RPS8B	ribosomal 40S subunit protein S8B
RPS9A	ribosomal 40S subunit protein S9A
RPS9B	ribosomal 40S subunit protein S9B
RPT1	proteasome regulatory particle base subunit RPT1
RPT2	proteasome regulatory particle base subunit RPT2
RPT3	proteasome regulatory particle base subunit RPT3
RPT4	proteasome regulatory particle base subunit RPT4
RPT5	proteasome regulatory particle base subunit RPT5
RPT6	proteasome regulatory particle base subunit RPT6
RQC1	Rqc1p
RQC2	Rqc2p
RRB1	ribosome biosynthesis protein RRB1
RRD1	peptidylprolyl isomerase RRD1
RRD2	peptidylprolyl isomerase RRD2
RRF1	Rrf1p
RRG1	Rrg1p
RRG7	Rrg7p
RRG8	Rrg8p
RRG9	Rrg9p
RRI1	COP9 signalosome catalytic subunit RRI1
RRI2	Rri2p
RRM3	Rrm3p
RRN10	Rrn10p
RRN11	Rrn11p
RRN3	rDNA-binding RNA polymerase I transcriptional factor
RRN5	Rrn5p
RRN6	Rrn6p
RRN7	Rrn7p
RRN9	Rrn9p
RRP1	Rrp1p
RRP12	mRNA-binding protein RRP12
RRP14	ribosome biosynthesis protein RRP14
RRP15	Rrp15p
RRP17	Rrp17p
RRP3	RNA-dependent ATPase RRP3
RRP36	rRNA-processing protein RRP36
RRP4	exosome non-catalytic core subunit RRP4
RRP40	exosome non-catalytic core subunit RRP40
RRP42	exosome non-catalytic core subunit RRP42
RRP43	exosome non-catalytic core subunit RRP43
RRP45	exosome non-catalytic core subunit RRP45
RRP46	exosome non-catalytic core subunit RRP46
RRP5	Rrp5p
RRP6	exosome nuclease subunit RRP6
RRP7	Rrp7p
RRP8	25S rRNA (adenine645-N1)-methyltransferase
RRP9	Rrp9p
RRS1	Rrs1p
RRT1	Rrt1p
RRT12	Rrt12p
RRT13	Rrt13p
RRT14	Rrt14p
RRT15	Rrt15p
RRT2	diphthamide synthase
RRT5	Rrt5p
RRT6	Rrt6p
RRT7	Rrt7p
RRT8	Rrt8p
RSA1	Rsa1p
RSA3	Rsa3p
RSA4	Rsa4p
RSB1	phospholipid-translocating ATPase RSB1
RSC1	RSC subunit protein RSC1
RSC2	Rsc2p
RSC3	Rsc3p
RSC30	Rsc30p
RSC4	Rsc4p
RSC58	Rsc58p
RSC6	Rsc6p
RSC8	Rsc8p
RSC9	Rsc9p
RSE1	U2 snRNP complex subunit RSE1
RSF1	Rsf1p
RSF2	Rsf2p
RSM10	mitochondrial 37S ribosomal protein RSM10
RSM18	mitochondrial 37S ribosomal protein RSM18
RSM19	mitochondrial 37S ribosomal protein RSM19
RSM22	mitochondrial 37S ribosomal protein RSM22
RSM23	mitochondrial 37S ribosomal protein RSM23
RSM24	mitochondrial 37S ribosomal protein RSM24
RSM25	mitochondrial 37S ribosomal protein RSM25
RSM26	mitochondrial 37S ribosomal protein RSM26
RSM27	mitochondrial 37S ribosomal protein RSM27
RSM28	mitochondrial 37S ribosomal protein RSM28
RSM7	mitochondrial 37S ribosomal protein RSM7
RSN1	Rsn1p
RSP5	NEDD4 family E3 ubiquitin-protein ligase
RSR1	Ras family GTPase RSR1
RTA1	Rta1p
RTC1	Rtc1p
RTC2	cationic amino acid transporter
RTC3	Rtc3p
RTC4	Rtc4p
RTC5	Rtc5p
RTC6	putative mitochondrial 54S ribosomal protein RTC6
RTF1	Rtf1p
RTG1	Rtg1p
RTG2	Rtg2p
RTG3	Rtg3p
RTK1	putative serine/threonine protein kinase RTK1
RTN1	Rtn1p
RTN2	Rtn2p
RTP1	Rtp1p
RTR1	RNA polymerase II subunit B1 CTD phosphatase RTR1
RTR2	putative protein-serine/threonine phosphatase
RTS1	protein phosphatase 2A regulatory subunit RTS1
RTS2	Rts2p
RTS3	Rts3p
RTT10	Rtt10p
RTT101	cullin RTT101
RTT102	Rtt102p
RTT103	Rtt103p
RTT105	Rtt105p
RTT106	Rtt106p
RTT107	Rtt107p
RTT109	H3 histone acetyltransferase RTT109
RUB1	NEDD8 family protein RUB1
RUD3	Rud3p
RUF20	ncRNA
RUF21	ncRNA
RUF22	ncRNA
RUF23	ncRNA
RUF5-1	ncRNA
RUF5-2	ncRNA
RUP1	Rup1p
RVB1	RuvB family ATP-dependent DNA helicase pontin
RVB2	RuvB family ATP-dependent DNA helicase reptin
RVS161	amphiphysin-like protein RVS161
RVS167	amphiphysin
RXT2	Rxt2p
RXT3	Rxt3p
SAC1	phosphatidylinositol-3-phosphatase SAC1
SAC3	Sac3p
SAC6	fimbrin
SAC7	Sac7p
SAD1	mRNA splicing protein SAD1
SAE2	ssDNA endodeoxyribonuclease SAE2
SAE3	Sae3p
SAF1	SCF ubiquitin ligase complex subunit SAF1
SAG1	Sag1p
SAH1	adenosylhomocysteinase
SAK1	serine/threonine protein kinase SAK1
SAL1	Ca(2+)-binding ATP:ADP antiporter SAL1
SAM1	methionine adenosyltransferase SAM1
SAM2	methionine adenosyltransferase SAM2
SAM3	bifunctional polyamine/amino acid permease SAM3
SAM35	SAM complex subunit SAM35
SAM37	SAM complex subunit SAM37
SAM4	S-adenosylmethionine-homocysteine S-methyltransferase SAM4
SAM50	SAM complex subunit SAM50
SAN1	ubiquitin-protein ligase SAN1
SAP1	putative AAA family ATPase SAP1
SAP155	Sap155p
SAP185	Sap185p
SAP190	Sap190p
SAP30	Sap30p
SAP4	Sap4p
SAR1	Arf family GTPase SAR1
SAS10	rRNA-processing protein SAS10
SAS2	Sas2p
SAS3	Sas3p
SAS4	Sas4p
SAS5	Sas5p
SAT4	serine/threonine protein kinase SAT4
SAW1	DNA-binding protein SAW1
SAY1	steryl deacetylase
SBA1	Hsp90 cochaperone SBA1
SBE2	Sbe2p
SBE22	Sbe22p
SBH1	Arf family guanine nucleotide exchange factor SBH1
SBH2	Arf family guanine nucleotide exchange factor SBH2
SBP1	Sbp1p
SCC2	cohesin-loading factor complex subunit SCC2
SCC4	cohesin-loading factor complex subunit SCC4
SCD5	Scd5p
SCD6	Scd6p
SCEI	intron-encoded endonuclease I-SceI
SCH9	serine/threonine protein kinase SCH9
SCJ1	Scj1p
SCL1	proteasome core particle subunit alpha 1
SCM3	Scm3p
SCM4	Scm4p
SCO1	Cu-binding protein SCO1
SCO2	putative thioredoxin peroxidase SCO2
SCP1	Scp1p
SCP160	Scp160p
SCR1	ncRNA
SCS2	phosphatidylinositol-binding protein SCS2
SCS22	phospholipid metabolism-regulating protein SCS22
SCS3	Scs3p
SCS7	fatty acid alpha-hydroxylase
SCT1	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1
SCW10	putative family 17 glucosidase
SCW11	putative glucan endo-1,3-beta-D-glucosidase
SCW4	putative family 17 glucosidase
SCY1	Scy1p
SDA1	Sda1p
SDC1	Sdc1p
SDC25	pseudo
SDD1	Sdd1p
SDD2	Sdd2p
SDD3	Sdd3p
SDD4	Sdd4p
SDH1	succinate dehydrogenase flavoprotein subunit SDH1
SDH2	succinate dehydrogenase iron-sulfur protein subunit SDH2
